"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1643","get element by id -> #user-name","","2026-03-04","passed","2026-03-04","","2. cy.get - Mengambil Element","",""
"","1164","Gagal melakukan checkout dengan data invalid","TC01 Checkout Process","2026-03-04","passed","2026-03-04","","TC01002 Invalid Checkout Process","",""
"","338","should type password into password field","","2026-03-04","passed","2026-03-04","","3. Type Text - Mengetik di input field","",""
"","1531","TC02 - Gagal login dengan kredensial tidak valid","","2026-03-04","passed","2026-03-04","","Page Object Model - Login Page","",""
"","1707","TC01 - Berhasil login dengan kredensial valid","","2026-03-04","passed","2026-03-04","","Page Object Model - Login Page","",""
"","1342","Should visit the login page (homepage)","","2026-03-04","passed","2026-03-04","","1. Visit page","",""
"","870","Should visit the cart page (after login()","","2026-03-04","passed","2026-03-04","","1. Visit page","",""
"","84","get element by class -> .login_container","","2026-03-04","passed","2026-03-04","","2. cy.get - Mengambil Element","",""
"","352","should type username into username field","","2026-03-04","passed","2026-03-04","","3. Type Text - Mengetik di input field","",""
"","77","get element by tag -> input","","2026-03-04","passed","2026-03-04","","2. cy.get - Mengambil Element","",""
"","817","Should visit the inventory page (after login)","","2026-03-04","passed","2026-03-04","","1. Visit page","",""
"","75","get element by combined selector -> input#user-name","","2026-03-04","passed","2026-03-04","","2. cy.get - Mengambil Element","",""
"","76","get element by text -> cy.contains()","","2026-03-04","passed","2026-03-04","","2. cy.get - Mengambil Element","",""
"","71","get element by attribute -> input[type=""password""]","","2026-03-04","passed","2026-03-04","","2. cy.get - Mengambil Element","",""
"","604","should clear field and retype username","","2026-03-04","passed","2026-03-04","","3. Type Text - Mengetik di input field","",""
"","4481","Berhasil melakukan checkout dengan data valid","TC01 Checkout Process","2026-03-04","passed","2026-03-04","","TC01001 Valid Checkout Process","",""
